                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9615,                 4.1126,                 1.5986,                0.01111,                    0.5,                0.05528,                0.03869,                 1.2654,                 4.5825,                0.87005,                      0,                      0,                      0
                      2,                 1.4946,                 3.9995,                  1.325,                 0.0119,                    0.5,                0.05528,                0.04533,                 1.1009,                  4.591,                0.78364,             6.9986e-06,             6.9986e-06,             6.9986e-06
                      3,                 1.6639,                 4.0561,                 1.3823,                0.01282,                    0.5,                0.08292,                0.04809,                 1.0639,                  4.505,                0.77976,             1.3715e-05,             1.3715e-05,             1.3715e-05
                      4,                 1.8093,                 4.0374,                 1.6704,                0.01389,                    0.5,                0.08292,                0.05251,                0.99226,                 4.4003,                0.78509,             2.0148e-05,             2.0148e-05,             2.0148e-05
                      5,                 1.5779,                 3.9539,                 1.3087,                0.01562,                    0.5,                0.12437,                0.06752,                0.92999,                 4.3792,                0.76377,             2.6298e-05,             2.6298e-05,             2.6298e-05
                      6,                 1.4682,                 3.9583,                 1.2763,                0.01562,                    0.5,                0.12437,                0.08457,                0.86328,                 4.3086,                 0.7481,             3.2166e-05,             3.2166e-05,             3.2166e-05
                      7,                 1.4945,                 3.9783,                 1.2352,                0.01923,                    0.5,                0.16583,                0.13267,                0.83463,                 4.2966,                0.72542,             3.7751e-05,             3.7751e-05,             3.7751e-05
                      8,                 1.3344,                 3.9038,                 1.2522,                   0.02,                    0.5,                0.24875,                0.22387,                0.76894,                 4.2416,                0.70646,             4.3053e-05,             4.3053e-05,             4.3053e-05
                      9,                 1.5505,                 4.0072,                 1.2078,                0.02174,                    0.5,                0.24875,                0.22387,                0.71102,                 4.2156,                 0.6949,             4.8072e-05,             4.8072e-05,             4.8072e-05
                     10,                 1.1354,                 3.8998,                 1.0931,                0.02273,                    0.5,                0.24875,                0.22387,                0.68102,                  4.189,                0.67883,             5.2809e-05,             5.2809e-05,             5.2809e-05
                     11,                 1.1129,                 3.8169,                 1.1212,                0.02273,                    0.5,                0.24875,                0.22387,                0.65077,                 4.1771,                0.67136,             5.7263e-05,             5.7263e-05,             5.7263e-05
                     12,                 1.0592,                  3.846,                 1.0463,                0.02381,                    0.5,                0.24875,                0.24875,                0.62876,                 4.1835,                0.67232,             6.1434e-05,             6.1434e-05,             6.1434e-05
                     13,                0.84299,                 3.6332,                 1.0352,                0.02381,                    0.5,                0.24875,                0.24875,                0.63501,                 4.1649,                0.65892,             6.5322e-05,             6.5322e-05,             6.5322e-05
                     14,                  1.016,                 3.6605,                 1.0862,                0.02083,                    0.5,                0.24875,                0.24875,                0.60124,                 4.1121,                0.66064,             6.8928e-05,             6.8928e-05,             6.8928e-05
                     15,                 1.0462,                  3.742,                 1.1086,                0.02174,                    0.5,                 0.4975,                 0.4975,                0.59117,                 4.1116,                 0.6564,             7.2251e-05,             7.2251e-05,             7.2251e-05
                     16,                 1.0204,                 3.5907,                 1.1507,                0.02174,                    0.5,                 0.4975,                 0.4975,                0.61474,                 4.1141,                0.65663,             7.5291e-05,             7.5291e-05,             7.5291e-05
                     17,                 0.9282,                 3.4927,                 1.0231,                0.02273,                    0.5,                 0.4975,                0.44775,                0.66224,                 4.1126,                0.65778,             7.8049e-05,             7.8049e-05,             7.8049e-05
