                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9882,                 4.6723,                 1.4436,                0.01282,                    0.5,                0.04975,                0.04477,                 1.0876,                 4.5887,                0.78573,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4963,                 4.0546,                 1.3032,                0.01471,                    0.5,                0.12437,                0.06219,                 0.9477,                 4.3915,                0.76343,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                 1.6562,                 4.1802,                  1.342,                0.01667,                    0.5,                0.16583,                0.13267,                0.86315,                 4.2526,                0.73221,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                 1.4872,                 3.9248,                 1.4912,                   0.02,                    0.5,                0.24875,                  0.199,                0.83634,                 4.2401,                0.71284,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3392,                 3.8999,                 1.3478,                   0.02,                    0.5,                0.24875,                0.22387,                0.76693,                 4.2378,                0.70821,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                0.98447,                 3.9395,                 1.1969,                0.02381,                    0.5,                 0.4975,                0.44775,                0.69283,                 4.1995,                0.69676,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.2238,                 3.8906,                  1.122,                0.02273,                    0.5,                 0.4975,                 0.4975,                0.64619,                 4.1512,                0.66941,             0.00013432,             0.00013432,             0.00013432
                      8,                 1.0347,                  3.947,                 1.1391,                0.02273,                    0.5,                 0.4975,                 0.4975,                0.64966,                 4.1047,                0.65974,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.1937,                 3.9279,                 1.0878,                0.02273,                    0.5,                 0.4975,                 0.4975,                0.64966,                 4.1047,                0.65974,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.1125,                 3.8019,                 1.0433,                0.02273,                    0.5,                 0.4975,                0.44775,                0.74274,                 4.0958,                0.68098,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.1967,                 3.7085,                 1.1275,                0.02273,                    0.5,                 0.4975,                0.44775,                0.74274,                 4.0958,                0.68098,             0.00020586,             0.00020586,             0.00020586
                     12,                0.89728,                  3.708,                 1.0376,                0.02381,                    0.5,                 0.4975,                  0.398,                0.86148,                 4.1297,                0.71726,             0.00022269,             0.00022269,             0.00022269
                     13,                0.86708,                 3.4544,                  1.086,                0.02381,                    0.5,                 0.4975,                  0.398,                0.86148,                 4.1297,                0.71726,             0.00023909,             0.00023909,             0.00023909
                     14,                 1.0169,                  3.444,                 1.0547,                0.02632,                    0.5,                 0.4975,                0.44775,                0.96034,                 4.1519,                0.74566,             0.00025506,             0.00025506,             0.00025506
                     15,                0.99027,                 3.2815,                 1.1032,                0.02632,                    0.5,                 0.4975,                0.44775,                0.96034,                 4.1519,                0.74566,             0.00027062,             0.00027062,             0.00027062
                     16,                0.89812,                 3.3444,                 1.1001,                0.02632,                    0.5,                 0.4975,                0.44775,                0.96034,                 4.1519,                0.74566,             0.00028575,             0.00028575,             0.00028575
                     17,                0.91307,                 3.1733,                0.98849,                0.02273,                    0.5,                0.24875,                  0.199,                 1.0231,                 4.1428,                0.84346,             0.00030045,             0.00030045,             0.00030045
                     18,                 1.0117,                  3.029,                  1.012,                0.02273,                    0.5,                0.24875,                  0.199,                 1.0231,                 4.1428,                0.84346,             0.00031473,             0.00031473,             0.00031473
                     19,                 1.0679,                 2.9435,                 1.0844,                0.02273,                    0.5,                0.24875,                  0.199,                 1.0231,                 4.1428,                0.84346,             0.00032859,             0.00032859,             0.00032859
                     20,                 1.0268,                  3.061,                  1.055,                0.02083,                    0.5,                0.24875,                0.17413,                  1.082,                 4.1664,                0.93237,             0.00034202,             0.00034202,             0.00034202
                     21,                0.99734,                 2.6152,                 1.0692,                0.02083,                    0.5,                0.24875,                0.17413,                  1.082,                 4.1664,                0.93237,             0.00035503,             0.00035503,             0.00035503
                     22,                0.96387,                 2.7379,                 1.1037,                0.02083,                    0.5,                0.24875,                0.17413,                  1.082,                 4.1664,                0.93237,             0.00036761,             0.00036761,             0.00036761
                     23,                0.85212,                 2.6294,                0.98847,                0.02083,                    0.5,                0.24875,                0.17413,                  1.082,                 4.1664,                0.93237,             0.00037977,             0.00037977,             0.00037977
                     24,                 1.0598,                 2.6399,                 1.4409,                0.02174,                    0.5,                0.24875,                0.12437,                 1.1937,                 4.2233,                0.96409,             0.00039151,             0.00039151,             0.00039151
                     25,                0.94143,                 2.3316,                  1.067,                0.02174,                    0.5,                0.24875,                0.12437,                 1.1937,                 4.2233,                0.96409,             0.00040282,             0.00040282,             0.00040282
                     26,                  1.354,                 2.4584,                 1.2378,                0.02174,                    0.5,                0.24875,                0.12437,                 1.1937,                 4.2233,                0.96409,             0.00041371,             0.00041371,             0.00041371
                     27,                 0.9609,                 2.4513,                 1.0419,                0.02174,                    0.5,                0.24875,                0.12437,                 1.1937,                 4.2233,                0.96409,             0.00042417,             0.00042417,             0.00042417
                     28,                0.95174,                 2.7964,                 1.0255,                0.02174,                    0.5,                0.24875,                0.12437,                 1.1937,                 4.2233,                0.96409,             0.00043421,             0.00043421,             0.00043421
                     29,                 1.1993,                  2.314,                   1.24,                0.04608,                      1,                0.53067,                0.40795,                 1.0875,                 4.1448,                0.92465,             0.00044383,             0.00044383,             0.00044383
                     30,                0.80947,                 2.0695,                0.98395,                0.04608,                      1,                0.53067,                0.40795,                 1.0875,                 4.1448,                0.92465,             0.00045302,             0.00045302,             0.00045302
                     31,                 1.0402,                 2.1282,                0.99006,                0.04608,                      1,                0.53067,                0.40795,                 1.0875,                 4.1448,                0.92465,             0.00046179,             0.00046179,             0.00046179
                     32,                0.93574,                 2.1667,                 1.0148,                0.04608,                      1,                0.53067,                0.40795,                 1.0875,                 4.1448,                0.92465,             0.00047013,             0.00047013,             0.00047013
                     33,                0.90126,                 2.4881,                 1.0591,                0.04608,                      1,                0.53067,                0.40795,                 1.0875,                 4.1448,                0.92465,             0.00047805,             0.00047805,             0.00047805
                     34,                  1.013,                 2.0958,                  1.075,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,             0.00048074,             0.00048074,             0.00048074
                     35,                   0.82,                 2.0089,                0.97594,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,             0.00047367,             0.00047367,             0.00047367
                     36,                0.82326,                 2.0625,                0.96902,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.0616,                 2.5791,                 1.3183,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.0186,                 2.1026,                 1.0187,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,             0.00045246,             0.00045246,             0.00045246
                     39,                0.91152,                 1.8158,                   0.97,                0.04514,                      1,                0.62187,                 0.4975,                 1.1898,                  3.925,                 1.0064,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.0557,                  2.431,                 1.1859,                0.38606,                    0.5,                0.62187,                 0.4975,                 1.1153,                 3.6981,                0.95825,             0.00043832,             0.00043832,             0.00043832
                     41,                0.71005,                 1.6193,                0.93091,                0.38606,                    0.5,                0.62187,                 0.4975,                 1.1153,                 3.6981,                0.95825,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.0152,                 1.9255,                 1.0139,                0.38606,                    0.5,                0.62187,                 0.4975,                 1.1153,                 3.6981,                0.95825,             0.00042419,             0.00042419,             0.00042419
                     43,                0.98536,                 2.0633,                 1.0501,                0.38606,                    0.5,                0.62187,                 0.4975,                 1.1153,                 3.6981,                0.95825,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.0031,                 1.5785,                 1.1631,                0.38606,                    0.5,                0.62187,                 0.4975,                 1.1153,                 3.6981,                0.95825,             0.00041005,             0.00041005,             0.00041005
                     45,                0.87784,                 2.1685,                0.99541,                0.45752,                    0.5,                0.62187,                0.50994,                 1.0837,                 3.9044,                0.92298,             0.00040298,             0.00040298,             0.00040298
                     46,                0.62334,                 6.8934,                0.74052,                0.45752,                    0.5,                0.62187,                0.50994,                 1.0837,                 3.9044,                0.92298,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.5199,                 4.8052,                0.70043,                0.45752,                    0.5,                0.62187,                0.50994,                 1.0837,                 3.9044,                0.92298,             0.00038884,             0.00038884,             0.00038884
                     48,                0.78932,                 1.7345,                 1.0066,                0.45752,                    0.5,                0.62187,                0.50994,                 1.0837,                 3.9044,                0.92298,             0.00038178,             0.00038178,             0.00038178
